SNRG,RA_OBS,DEC_OBS,DESIG,HELIO,HELIO_RV,fits_name
123.48,261.418516,9.348589,LAMOST J172540.44+092054.9,True,-18.47815,spec-57867-HD172518N085528V01_sp04-209.fits
325.91,95.269242,22.169481,LAMOST J062104.61+221010.1,True,10.58101,spec-59230-TD061156N231225K01_sp06-106.fits
101.48,102.23573,0.083702,LAMOST J064856.57+000501.3,True,-27.42839,spec-59134-HD064550S004259V01_sp09-039.fits
21.9,93.476227,23.483251,LAMOST J061354.29+232859.7,True,25.15826,spec-58169-HD061524N252001V01_sp01-065.fits
91.09,87.573501,21.649329,LAMOST J055017.64+213857.5,True,14.51177,spec-56309-GAC088N20V2_sp16-151.fits
260.25,79.897395,19.079503,LAMOST J051935.37+190446.2,True,-25.02924,spec-56946-HD052043N171434V01_sp11-011.fits
210.47,37.360151,57.385061,LAMOST J022926.43+572306.2,True,-19.46691,spec-59111-HD023050N553254V01_sp11-180.fits
131.54,102.34853,12.030677,LAMOST J064923.64+120150.4,True,1.36218,spec-55932-GAC_104N11_V1_sp14-176.fits
456.47,64.99257,49.351226,LAMOST J041958.21+492104.4,True,25.47765,spec-57798-HD042432N505042V02_sp02-054.fits
607.24,93.009069,21.288215,LAMOST J061202.17+211717.5,True,28.78093,spec-57721-HIP29425K201_sp01-087.fits
243.93,55.304601,24.892346,LAMOST J034113.10+245332.4,True,-22.5861,spec-57662-KP034215N224711V01_sp11-022.fits
229.94,62.571835,50.731416,LAMOST J041017.24+504353.0,True,25.28391,spec-57798-HD042432N505042V02_sp10-130.fits
31.85,95.012083,24.229903,LAMOST J062002.89+241347.6,True,15.44515,spec-58875-HD062534N222728V01_sp16-181.fits
226.11,344.400278,57.51504,LAMOST J225736.06+573054.1,True,12.72156,spec-56994-HD230130N570619V01_sp03-134.fits
5.64,80.556153,43.396151,LAMOST J052213.47+432346.1,True,26.44905,spec-56345-GAC079N41V1_sp11-049.fits
20.25,95.624575,18.825516,LAMOST J062229.89+184931.8,True,26.99387,spec-58544-KII061450N190923V01_sp06-084.fits
115.64,72.446503,41.499255,LAMOST J044947.16+412957.3,True,25.7381,spec-55968-GAC_070N40_V3_sp13-123.fits
338.81,105.8536,16.859579,LAMOST J070324.86+165134.4,True,-19.24918,spec-56258-GAC105N15V2_sp09-084.fits
227.03,95.097317,23.263769,LAMOST J062023.35+231549.5,True,-11.31746,spec-58457-KII062257N223048V01_sp15-231.fits
36.61,44.854396,55.745918,LAMOST J025925.05+554445.3,True,-8.69883,spec-58423-TD030224N542147B01_sp15-212.fits
145.28,95.70595,12.106391,LAMOST J062249.42+120623.0,True,23.66172,spec-58168-HD061556N101654V01_sp12-193.fits
